2013-01-21 00:45:13,439 -  INFO | [main] | Root WebApplicationContext: initialization started
2013-01-21 00:45:13,514 - DEBUG | [main] | Initializing new StandardServletEnvironment
2013-01-21 00:45:13,515 - DEBUG | [main] | Adding [servletConfigInitParams] PropertySource with lowest search precedence
2013-01-21 00:45:13,516 - DEBUG | [main] | Adding [servletContextInitParams] PropertySource with lowest search precedence
2013-01-21 00:45:13,522 - DEBUG | [main] | Adding [jndiProperties] PropertySource with lowest search precedence
2013-01-21 00:45:13,522 - DEBUG | [main] | Adding [systemProperties] PropertySource with lowest search precedence
2013-01-21 00:45:13,524 - DEBUG | [main] | Adding [systemEnvironment] PropertySource with lowest search precedence
2013-01-21 00:45:13,524 - DEBUG | [main] | Initialized StandardServletEnvironment with PropertySources [servletConfigInitParams,servletContextInitParams,jndiProperties,systemProperties,systemEnvironment]
2013-01-21 00:45:13,533 -  INFO | [main] | Refreshing Root WebApplicationContext: startup date [Mon Jan 21 00:45:13 GMT+05:30 2013]; root of context hierarchy
2013-01-21 00:45:13,539 - DEBUG | [main] | Replacing [servletContextInitParams] PropertySource with [servletContextInitParams]
2013-01-21 00:45:13,588 - DEBUG | [main] | Initializing new StandardEnvironment
2013-01-21 00:45:13,588 - DEBUG | [main] | Adding [systemProperties] PropertySource with lowest search precedence
2013-01-21 00:45:13,589 - DEBUG | [main] | Adding [systemEnvironment] PropertySource with lowest search precedence
2013-01-21 00:45:13,589 - DEBUG | [main] | Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
2013-01-21 00:45:13,590 - DEBUG | [main] | Initializing new StandardEnvironment
2013-01-21 00:45:13,590 - DEBUG | [main] | Adding [systemProperties] PropertySource with lowest search precedence
2013-01-21 00:45:13,591 - DEBUG | [main] | Adding [systemEnvironment] PropertySource with lowest search precedence
2013-01-21 00:45:13,591 - DEBUG | [main] | Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
2013-01-21 00:45:13,600 -  INFO | [main] | Loading XML bean definitions from class path resource [glassfish-web.xml]
2013-01-21 00:45:13,605 - DEBUG | [main] | Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
2013-01-21 00:45:13,640 - DEBUG | [main] | Loading schema mappings from [META-INF/spring.schemas]
